~Светлана~, 2134141673, (3+4j) + (2+3j) = (5+7j)
~Светлана~, 2134141673, (2+4j) * 3.0 = (6+12j)
Ninja_2121, 1474452861, 24.0 - 6.0 = 18.0
~Светлана~, 2134141673, 56.0 / 8.0 = 7.0
~Светлана~, 2134141673, (4+5j) - (2+3j) = (2+2j)
~Светлана~, 2134141673, 5.0 * 0.0 = 0.0
~Светлана~, 2134141673, (5+1j) / 4j = (0.25-1.25j)
Ninja_2121, 1474452861, (2+3j) / (1+4j) = (0.8235294117647058-0.29411764705882354j)
Ninja_2121, 1474452861, 65.0 + 34.0 = 99.0
~Светлана~, 2134141673, (4+5j) * (7+1j) = (23+39j)
~Светлана~, 2134141673, (4+8j) - (3+2j) = (1+6j)
~Светлана~, 2134141673, 3.0 + 4.0 = 7.0
